layer,proj,channel,selected_count,is_scale_topk,is_frequency_topk
7,up_proj,430,0,0,0
7,up_proj,431,0,0,0
7,up_proj,432,0,0,0
7,up_proj,433,0,0,0
7,up_proj,434,0,0,0
7,up_proj,435,0,0,0
7,up_proj,436,0,0,0
7,up_proj,437,0,0,0
7,up_proj,438,0,0,0
7,up_proj,439,0,0,0
7,up_proj,440,0,0,0
7,up_proj,441,0,0,0
7,up_proj,442,0,0,0
7,up_proj,443,0,0,0
7,up_proj,444,0,0,0
7,up_proj,445,0,0,0
7,up_proj,446,0,0,0
7,up_proj,447,0,0,0
7,up_proj,448,0,0,0
7,up_proj,449,0,0,0
7,up_proj,450,0,0,0
7,up_proj,451,0,0,0
7,up_proj,452,0,0,0
7,up_proj,453,0,0,0
7,up_proj,454,0,0,0
7,up_proj,455,0,0,0
7,up_proj,456,0,0,0
7,up_proj,457,0,0,0
7,up_proj,458,0,0,0
7,up_proj,459,0,0,0
7,up_proj,460,0,0,0
7,up_proj,461,0,0,0
7,up_proj,462,3,0,0
7,up_proj,463,0,0,0
7,up_proj,464,0,0,0
7,up_proj,465,0,0,0
7,up_proj,466,0,0,0
7,up_proj,467,0,0,0
7,up_proj,468,0,0,0
7,up_proj,469,0,0,0
7,up_proj,470,0,0,0
7,up_proj,471,0,0,0
7,up_proj,472,0,0,0
7,up_proj,473,0,0,0
7,up_proj,474,0,0,0
7,up_proj,475,0,0,0
7,up_proj,476,0,0,0
7,up_proj,477,64,1,1
7,up_proj,478,0,0,0
7,up_proj,479,0,0,0
7,up_proj,480,0,0,0
7,up_proj,481,0,0,0
7,up_proj,482,0,0,0
7,up_proj,483,47,1,1
7,up_proj,484,0,0,0
7,up_proj,485,0,0,0
7,up_proj,486,0,0,0
7,up_proj,487,0,0,0
7,up_proj,488,0,0,0
7,up_proj,489,0,0,0
7,up_proj,490,0,0,0
7,up_proj,491,0,0,0
7,up_proj,492,0,0,0
7,up_proj,493,63,1,1
7,up_proj,494,0,0,0
7,up_proj,495,0,0,0
7,up_proj,496,0,0,0
7,up_proj,497,0,0,0
7,up_proj,498,0,0,0
7,up_proj,499,0,0,0
7,up_proj,500,0,0,0
7,up_proj,501,0,0,0
7,up_proj,502,0,0,0
7,up_proj,503,0,0,0
7,up_proj,504,0,0,0
7,up_proj,505,41,1,1
7,up_proj,506,0,0,0
7,up_proj,507,0,0,0
7,up_proj,508,0,0,0
7,up_proj,509,0,0,0
7,up_proj,510,0,0,0
7,up_proj,511,0,0,0
7,up_proj,512,20,0,0
7,up_proj,513,64,1,1
7,up_proj,514,0,0,0
7,up_proj,515,8,0,0
7,up_proj,516,0,0,0
7,up_proj,517,0,0,0
7,up_proj,518,0,0,0
7,up_proj,519,0,0,0
7,up_proj,520,0,0,0
7,up_proj,521,0,0,0
7,up_proj,522,0,0,0
7,up_proj,523,64,1,1
7,up_proj,524,0,0,0
7,up_proj,525,0,0,0
7,up_proj,526,0,0,0
7,up_proj,527,0,0,0
7,up_proj,528,0,0,0
7,up_proj,529,63,1,1
7,up_proj,530,0,0,0
7,up_proj,531,0,0,0
7,up_proj,532,0,0,0
7,up_proj,533,12,0,0
7,up_proj,534,0,0,0
7,up_proj,535,0,0,0
7,up_proj,536,0,0,0
7,up_proj,537,0,0,0
7,up_proj,538,0,0,0
7,up_proj,539,0,0,0
7,up_proj,540,0,0,0
7,up_proj,541,0,0,0
7,up_proj,542,0,0,0
7,up_proj,543,0,0,0
7,up_proj,544,0,0,0
7,up_proj,545,0,0,0
7,up_proj,546,0,0,0
7,up_proj,547,0,0,0
7,up_proj,548,0,0,0
7,up_proj,549,0,0,0
7,up_proj,550,0,0,0
7,up_proj,551,0,0,0
7,up_proj,552,0,0,0
7,up_proj,553,0,0,0
7,up_proj,554,0,0,0
7,up_proj,555,0,0,0
7,up_proj,556,0,0,0
7,up_proj,557,0,0,0
7,up_proj,558,0,0,0
7,up_proj,559,0,0,0
7,up_proj,560,0,0,0
7,up_proj,561,0,0,0
7,up_proj,562,0,0,0
7,up_proj,563,60,1,1
7,up_proj,564,0,0,0
7,up_proj,565,0,0,0
7,up_proj,566,0,0,0
7,up_proj,567,0,0,0
7,up_proj,568,0,0,0
7,up_proj,569,0,0,0
7,up_proj,570,37,1,1
7,up_proj,571,0,0,0
7,up_proj,572,0,0,0
7,up_proj,573,0,0,0
7,up_proj,574,0,0,0
7,up_proj,575,0,0,0
7,up_proj,576,0,0,0
7,up_proj,577,0,0,0
7,up_proj,578,0,0,0
7,up_proj,579,0,0,0
7,up_proj,580,0,0,0
7,up_proj,581,0,0,0
7,up_proj,582,0,0,0
7,up_proj,583,0,0,0
7,up_proj,584,0,0,0
7,up_proj,585,0,0,0
7,up_proj,586,0,0,0
7,up_proj,587,0,0,0
7,up_proj,588,0,0,0
7,up_proj,589,0,0,0
7,up_proj,590,0,0,0
7,up_proj,591,0,0,0
7,up_proj,592,0,0,0
7,up_proj,593,0,0,0
7,up_proj,594,0,0,0
7,up_proj,595,0,0,0
7,up_proj,596,0,0,0
7,up_proj,597,0,0,0
7,up_proj,598,0,0,0
7,up_proj,599,0,0,0
7,up_proj,600,0,0,0
7,up_proj,601,0,0,0
7,up_proj,602,0,0,0
7,up_proj,603,0,0,0
7,up_proj,604,0,0,0
7,up_proj,605,0,0,0
7,up_proj,606,0,0,0
7,up_proj,607,0,0,0
7,up_proj,608,0,0,0
7,up_proj,609,0,0,0
7,up_proj,610,0,0,0
7,up_proj,611,0,0,0
7,up_proj,612,0,0,0
7,up_proj,613,0,0,0
7,up_proj,614,0,0,0
7,up_proj,615,0,0,0
7,up_proj,616,0,0,0
7,up_proj,617,0,0,0
7,up_proj,618,0,0,0
7,up_proj,619,0,0,0
7,up_proj,620,0,0,0
7,up_proj,621,0,0,0
7,up_proj,622,0,0,0
7,up_proj,623,41,1,1
7,up_proj,624,0,0,0
7,up_proj,625,0,0,0
7,up_proj,626,0,0,0
7,up_proj,627,0,0,0
7,up_proj,628,0,0,0
7,up_proj,629,1,0,0
7,up_proj,630,0,0,0
7,up_proj,631,0,0,0
7,up_proj,632,0,0,0
7,up_proj,633,0,0,0
7,up_proj,634,0,0,0
7,up_proj,635,63,1,1
7,up_proj,636,0,0,0
7,up_proj,637,0,0,0
7,up_proj,638,0,0,0
7,up_proj,639,0,0,0
7,up_proj,640,0,0,0
7,up_proj,641,0,0,0
7,up_proj,642,0,0,0
7,up_proj,643,0,0,0
7,up_proj,644,0,0,0
7,up_proj,645,0,0,0
7,up_proj,646,0,0,0
7,up_proj,647,0,0,0
7,up_proj,648,0,0,0
7,up_proj,649,0,0,0
7,up_proj,650,0,0,0
7,up_proj,651,0,0,0
7,up_proj,652,0,0,0
7,up_proj,653,0,0,0
7,up_proj,654,0,0,0
7,up_proj,655,0,0,0
7,up_proj,656,0,0,0
7,up_proj,657,0,0,0
7,up_proj,658,0,0,0
7,up_proj,659,0,0,0
7,up_proj,660,0,0,0
7,up_proj,661,32,1,1
7,up_proj,662,0,0,0
7,up_proj,663,0,0,0
7,up_proj,664,0,0,0
7,up_proj,665,54,1,1
7,up_proj,666,0,0,0
