source_type,timestamp_readable,category,label,model,metric,quant_desc,aw_bits,weight_group,router_weight_group,ose_topk,ose_quant,ose_score,disable_gateup_duquant,tier_quants,tier_fractions,wikitext2,c4,acc_avg,avg_no_obqa,arc_challenge,arc_easy,boolq,openbookqa,piqa,winogrande,status,experiment,source_file,run_log,rank_log
rank_log,2026-07-16 23:14:04,ad_hoc_ppl_only,output,olmoe,routed_tail,W4A8 Rw8a8,12,2048,2048,64,fp16,smooth_scale,True,,,7.2250165939331055,11.453522682189941,,,,,,,,,ok_ppl_only,experiments/remaining_ablation_suite_20260716_210440/ose_precision/ose_fp16,experiments/remaining_ablation_suite_20260716_210440/ose_precision/ose_fp16/output/olmoe_compat_w4a8_Rw8a8/log_rank0_1784213725.txt,,experiments/remaining_ablation_suite_20260716_210440/ose_precision/ose_fp16/output/olmoe_compat_w4a8_Rw8a8/log_rank0_1784213725.txt
rank_log,2026-07-16 23:33:04,ad_hoc_ppl_only,output,olmoe,routed_tail,W4A8 Rw8a8,12,2048,2048,64,w16a16,smooth_scale,True,,,7.2250165939331055,11.453522682189941,,,,,,,,,ok_ppl_only,experiments/remaining_ablation_suite_20260716_210440/ose_precision/ose_w16a16,experiments/remaining_ablation_suite_20260716_210440/ose_precision/ose_w16a16/output/olmoe_compat_w4a8_Rw8a8/log_rank0_1784214849.txt,,experiments/remaining_ablation_suite_20260716_210440/ose_precision/ose_w16a16/output/olmoe_compat_w4a8_Rw8a8/log_rank0_1784214849.txt
rank_log,2026-07-17 00:15:54,ad_hoc_ppl_only,output,olmoe,routed_tail,W4A8 Rw8a8,12,2048,2048,64,w4a4,smooth_scale,True,,,7.262635707855225,11.521576881408691,,,,,,,,,ok_ppl_only,experiments/remaining_ablation_suite_20260716_210440/ose_precision/ose_w4a4,experiments/remaining_ablation_suite_20260716_210440/ose_precision/ose_w4a4/output/olmoe_compat_w4a8_Rw8a8/log_rank0_1784217276.txt,,experiments/remaining_ablation_suite_20260716_210440/ose_precision/ose_w4a4/output/olmoe_compat_w4a8_Rw8a8/log_rank0_1784217276.txt
rank_log,2026-07-17 00:37:30,ad_hoc_ppl_only,output,olmoe,routed_tail,W4A8 Rw8a8,12,2048,2048,64,same,smooth_scale,True,,,7.278408050537109,11.528127670288086,,,,,,,,,ok_ppl_only,experiments/remaining_ablation_suite_20260716_210440/ose_precision/ose_same,experiments/remaining_ablation_suite_20260716_210440/ose_precision/ose_same/output/olmoe_compat_w4a8_Rw8a8/log_rank0_1784218559.txt,,experiments/remaining_ablation_suite_20260716_210440/ose_precision/ose_same/output/olmoe_compat_w4a8_Rw8a8/log_rank0_1784218559.txt
rank_log,2026-07-17 01:24:09,ad_hoc_ppl_only,output,olmoe,routed_tail,W4A8 Rw8a8,12,2048,2048,64,w8a8,weight_max,True,,,7.249197483062744,11.444263458251953,,,,,,,,,ok_ppl_only,experiments/remaining_ablation_suite_20260716_210440/ose_score/score_weight_max,experiments/remaining_ablation_suite_20260716_210440/ose_score/score_weight_max/output/olmoe_compat_w4a8_Rw8a8/log_rank0_1784221368.txt,,experiments/remaining_ablation_suite_20260716_210440/ose_score/score_weight_max/output/olmoe_compat_w4a8_Rw8a8/log_rank0_1784221368.txt
rank_log,2026-07-17 01:47:11,ad_hoc_ppl_only,output,olmoe,routed_tail,W4A8 Rw8a8,12,2048,2048,64,w8a8,weight_error,True,,,7.238611221313477,11.4657621383667,,,,,,,,,ok_ppl_only,experiments/remaining_ablation_suite_20260716_210440/ose_score/score_weight_error,experiments/remaining_ablation_suite_20260716_210440/ose_score/score_weight_error/output/olmoe_compat_w4a8_Rw8a8/log_rank0_1784222769.txt,,experiments/remaining_ablation_suite_20260716_210440/ose_score/score_weight_error/output/olmoe_compat_w4a8_Rw8a8/log_rank0_1784222769.txt
rank_log,2026-07-18 15:22:44,ad_hoc_ppl_only,output,olmoe,routed_tail,W4A8 Rw8a8,12,2048,2048,64,w8a8,smooth_scale,True,,,7.142786026000977,11.401777267456055,,,,,,,,,ok_ppl_only,experiments/aw_budget_sweep_routed_tail_olmoe_group2048_20260718_082538/aw16,experiments/aw_budget_sweep_routed_tail_olmoe_group2048_20260718_082538/aw16/output/olmoe_compat_w4a8_Rw8a8/log_rank0_1784358088.txt,,experiments/aw_budget_sweep_routed_tail_olmoe_group2048_20260718_082538/aw16/output/olmoe_compat_w4a8_Rw8a8/log_rank0_1784358088.txt
rank_log,2026-07-17 12:58:16,ad_hoc_ppl_only,output,olmoe,routed_tail,W4A8 Rw8a8,12,256,256,64,w8a8,smooth_scale,True,,,7.033175468444824,11.280038833618164,,,,,,,,,ok_ppl_only,experiments/group_size_scan_routed_tail_olmoe_ppl_20260717_104032/group_256,experiments/group_size_scan_routed_tail_olmoe_ppl_20260717_104032/group_256/output/olmoe_compat_w4a8_Rw8a8/log_rank0_1784263035.txt,,experiments/group_size_scan_routed_tail_olmoe_ppl_20260717_104032/group_256/output/olmoe_compat_w4a8_Rw8a8/log_rank0_1784263035.txt
rank_log,2026-07-17 11:49:39,ad_hoc_ppl_only,output,olmoe,routed_tail,W4A8 Rw8a8,12,32,32,64,w8a8,smooth_scale,True,,,6.955334663391113,11.181417465209961,,,,,,,,,ok_ppl_only,experiments/group_size_scan_routed_tail_olmoe_ppl_20260717_104032/group_32,experiments/group_size_scan_routed_tail_olmoe_ppl_20260717_104032/group_32/output/olmoe_compat_w4a8_Rw8a8/log_rank0_1784258926.txt,,experiments/group_size_scan_routed_tail_olmoe_ppl_20260717_104032/group_32/output/olmoe_compat_w4a8_Rw8a8/log_rank0_1784258926.txt
rank_log,2026-07-17 13:21:04,ad_hoc_ppl_only,output,olmoe,routed_tail,W4A8 Rw8a8,12,512,512,64,w8a8,smooth_scale,True,,,7.117123126983643,11.316435813903809,,,,,,,,,ok_ppl_only,experiments/group_size_scan_routed_tail_olmoe_ppl_20260717_104032/group_512,experiments/group_size_scan_routed_tail_olmoe_ppl_20260717_104032/group_512/output/olmoe_compat_w4a8_Rw8a8/log_rank0_1784264401.txt,,experiments/group_size_scan_routed_tail_olmoe_ppl_20260717_104032/group_512/output/olmoe_compat_w4a8_Rw8a8/log_rank0_1784264401.txt
